ID,Label
D5 - 242,AI
D5 - 243,Human
D5 - 244,AI
D5 - 245,AI
D5 - 246,Human
D5 - 247,Human
D5 - 248,Human
D5 - 249,Human
D5 - 250,AI
D5 - 251,AI
D5 - 252,AI
D5 - 253,AI
D5 - 254,AI
D5 - 255,Human
D5 - 256,Human
D5 - 257,Human
D5 - 258,AI
D5 - 259,AI
D5 - 260,AI
D5 - 261,Human
D5 - 262,Human
D5 - 263,AI
D5 - 264,Human
D5 - 265,Human
D5 - 266,AI
D5 - 267,AI
D5 - 268,
D5 - 269,Human
D5 - 270,Human
D5 - 271,AI
D5 - 272,Human
D5 - 273,AI
D5 - 274,AI
D5 - 275,AI
D5 - 276,Human
D5 - 277,AI
D5 - 278,Human
D5 - 279,AI
D5 - 280,Human
D5 - 281,AI
D5 - 282,Human
D5 - 283,AI
D5 - 284,AI
D5 - 285,AI
D5 - 286,Human
D5 - 287,Human
D5 - 288,AI
D5 - 289,Human
D5 - 290,AI
D5 - 291,AI
D5 - 292,AI
D5 - 293,Human
D5 - 294,Human
D5 - 295,Human
D5 - 296,Human
D5 - 297,Human
D5 - 298,AI
D5 - 299,AI
D5 - 300,AI
D5 - 301,AI
D5 - 302,AI
D5 - 303,Human
D5 - 304,AI
D5 - 305,AI
D5 - 306,AI
D5 - 307,AI
D5 - 308,AI
D5 - 309,Human
D5 - 310,AI
D5 - 311,Human
D5 - 312,AI
D5 - 313,Human
D5 - 314,AI
D5 - 315,Human
D5 - 316,AI
D5 - 317,Human
D5 - 318,Human
D5 - 319,AI
D5 - 320,AI
D5 - 321,Human
D5 - 322,Human
D5 - 323,AI
D5 - 324,AI
D5 - 325,Human
D5 - 326,Human
D5 - 327,Human
D5 - 328,Human
D5 - 329,AI
D5 - 330,AI
D5 - 331,AI
D5 - 332,Human
D5 - 333,AI
D5 - 334,Human
D5 - 335,AI
D5 - 336,Human
D5 - 337,Human
D5 - 338,AI
D5 - 339,AI
D5 - 340,AI
D5 - 341,AI
D5 - 342,Human
D5 - 343,AI
D5 - 344,Human
D5 - 345,Human
D5 - 346,Human
D5 - 347,AI
D5 - 348,AI
D5 - 349,AI
D5 - 350,AI
D5 - 351,AI
D5 - 352,Human
D5 - 353,Human
D5 - 354,Human
D5 - 355,Human
D5 - 356,Human
D5 - 357,Human
D5 - 358,AI
D5 - 359,Human
D5 - 360,AI
D5 - 361,Human
D5 - 362,Human
D5 - 363,AI
D5 - 364,Human
D5 - 365,Human
D5 - 366,AI
D5 - 367,AI
D5 - 368,AI
D5 - 369,Human
D5 - 370,AI
D5 - 371,AI
D5 - 372,AI
D5 - 373,AI
D5 - 374,AI
D5 - 375,AI
D5 - 376,Human
D5 - 377,AI
D5 - 378,AI
D5 - 379,Human
D5 - 380,AI
D5 - 381,Human
D5 - 382,AI
D5 - 383,AI
D5 - 384,Human
D5 - 385,AI
D5 - 386,Human
D5 - 387,AI
D5 - 388,Human
D5 - 389,AI
D5 - 390,Human
D5 - 391,Human
D5 - 392,Human
D5 - 393,AI
D5 - 394,AI
D5 - 395,Human
D5 - 396,AI
D5 - 397,AI
D5 - 398,Human
D5 - 399,Human
D5 - 400,AI
D5 - 401,Human
D5 - 402,Human
D5 - 403,AI
D5 - 404,AI
D5 - 405,AI
D5 - 406,AI
D5 - 407,Human
D5 - 408,AI
D5 - 409,Human
D5 - 410,Human
D5 - 411,Human
D5 - 412,Human
D5 - 413,Human
D5 - 414,AI
D5 - 415,Human
D5 - 416,Human
D5 - 417,Human
D5 - 418,Human
D5 - 419,Human
D5 - 420,AI
D5 - 421,AI
D5 - 422,AI
D5 - 423,Human
D5 - 424,Human
D5 - 425,Human
D5 - 426,Human
D5 - 427,Human
D5 - 428,AI
D5 - 429,AI
D5 - 430,Human
D5 - 431,AI
D5 - 432,Human
D5 - 433,AI
D5 - 434,Human
D5 - 435,AI
D5 - 436,AI
D5 - 437,Human
D5 - 438,AI
D5 - 439,Human
D5 - 440,Human
D5 - 441,Human
D5 - 442,AI
D5 - 443,AI
D5 - 444,AI
D5 - 445,AI
D5 - 446,Human
D5 - 447,Human
D5 - 448,Human
D5 - 449,AI
D5 - 450,AI
D5 - 451,Human
D5 - 452,AI
D5 - 453,Human
D5 - 454,AI
D5 - 455,Human
D5 - 456,AI
D5 - 457,Human
D5 - 458,AI
D5 - 459,Human
D5 - 460,Human
D5 - 461,Human
D5 - 462,Human
D5 - 463,Human
D5 - 464,AI
D5 - 465,Human
D5 - 466,Human
D5 - 467,AI
D5 - 468,AI
D5 - 469,AI
D5 - 470,AI
D5 - 471,AI
D5 - 472,AI
D5 - 473,Human
D5 - 474,AI
D5 - 475,Human
D5 - 476,AI
D5 - 477,Human
D5 - 478,Human
D5 - 479,Human
D5 - 480,Human
D5 - 481,AI
D5 - 482,Human
D5 - 483,Human
D5 - 484,AI
D5 - 485,Human
D5 - 486,Human
D5 - 487,Human
D5 - 488,AI
D5 - 489,AI
D5 - 490,Human
D5 - 491,Human
D5 - 492,Human
D5 - 493,Human
D5 - 494,AI
D5 - 495,Human
D5 - 496,Human
D5 - 497,Human
D5 - 498,AI
D5 - 499,Human
D5 - 500,AI
D5 - 501,AI
D5 - 502,AI
D5 - 503,AI
D5 - 504,Human
D5 - 505,Human
D5 - 506,AI
D5 - 507,Human
D5 - 508,AI
D5 - 509,AI
D5 - 510,AI
D5 - 511,Human
D5 - 512,AI
D5 - 513,AI
D5 - 514,AI
D5 - 515,AI
D5 - 516,Human
D5 - 517,AI
D5 - 518,Human
D5 - 519,AI
D5 - 520,AI
D5 - 521,Human
D5 - 522,AI
D5 - 523,AI
D5 - 524,AI
D5 - 525,Human
D5 - 526,Human
D5 - 527,AI
D5 - 528,AI
D5 - 529,AI
D5 - 530,AI
D5 - 531,AI
D5 - 532,Human
D5 - 533,AI
D5 - 534,Human
D5 - 535,AI
D5 - 536,AI
D5 - 537,AI
D5 - 538,Human
D5 - 539,Human
D5 - 540,Human
D5 - 541,AI
D5 - 542,AI
D5 - 543,AI
D5 - 544,AI
D5 - 545,Human
D5 - 546,Human
D5 - 547,Human
D5 - 548,AI
D5 - 549,AI
D5 - 550,Human
D5 - 551,Human
D5 - 552,AI
D5 - 553,AI
D5 - 554,Human
D5 - 555,Human
D5 - 556,Human
D5 - 557,Human
D5 - 558,AI
D5 - 559,AI
D5 - 560,Human
D5 - 561,Human
D5 - 562,AI
D5 - 563,AI
D5 - 564,Human
D5 - 565,AI
D5 - 566,AI
D5 - 567,Human
D5 - 568,Human
D5 - 569,Human
D5 - 570,AI
D5 - 571,AI
D5 - 572,Human
D5 - 573,Human
D5 - 574,Human
D5 - 575,AI
D5 - 576,Human
D5 - 577,AI
D5 - 578,AI
D5 - 579,AI
D5 - 580,Human
D5 - 581,AI
D5 - 582,Human
D5 - 583,AI
D5 - 584,AI
D5 - 585,AI
D5 - 586,AI
D5 - 587,AI
D5 - 588,AI
D5 - 589,AI
D5 - 590,AI
D5 - 591,AI
D5 - 592,Human
D5 - 593,AI
D5 - 594,Human
D5 - 595,Human
D5 - 596,AI
D5 - 597,Human
D5 - 598,Human
D5 - 599,AI
D5 - 600,AI
D5 - 601,AI
D5 - 602,Human
D5 - 603,AI
D5 - 604,Human
D5 - 605,AI
D5 - 606,AI
D5 - 607,Human
D5 - 608,Human
D5 - 609,AI
D5 - 610,Human
D5 - 611,AI
D5 - 612,AI
D5 - 613,AI
D5 - 614,AI
D5 - 615,AI
D5 - 616,Human
D5 - 617,AI
D5 - 618,AI
D5 - 619,AI
D5 - 620,AI
D5 - 621,AI
D5 - 622,AI
D5 - 623,AI
D5 - 624,Human
D5 - 625,Human
D5 - 626,AI
D5 - 627,Human
D5 - 628,AI
D5 - 629,Human
D5 - 630,Human
D5 - 631,Human
D5 - 632,AI
D5 - 633,Human
D5 - 634,AI
D5 - 635,AI
D5 - 636,AI
D5 - 637,AI
D5 - 638,Human
D5 - 639,AI
D5 - 640,AI
D5 - 641,Human
D5 - 642,Human
D5 - 643,AI
D5 - 644,AI
D5 - 645,AI
D5 - 646,Human
D5 - 647,Human
D5 - 648,Human
D5 - 649,AI
D5 - 650,AI
D5 - 651,AI
D5 - 652,AI
D5 - 653,Human
D5 - 654,Human
D5 - 655,AI
D5 - 656,Human
D5 - 657,AI
D5 - 658,AI
D5 - 659,Human
D5 - 660,Human
D5 - 661,AI
D5 - 662,AI
D5 - 663,AI
D5 - 664,AI
D5 - 665,AI
D5 - 666,Human
D5 - 667,Human
D5 - 668,AI
D5 - 669,Human
D5 - 670,Human
D5 - 671,AI
D5 - 672,Human
D5 - 673,AI
D5 - 674,Human
D5 - 675,AI
D5 - 676,Human
D5 - 677,Human
D5 - 678,Human
D5 - 679,AI
D5 - 680,Human
D5 - 681,Human
D5 - 682,AI
D5 - 683,Human
D5 - 684,Human
D5 - 685,AI
D5 - 686,Human
D5 - 687,AI
D5 - 688,AI
D5 - 689,Human
D5 - 690,AI
D5 - 691,AI
D5 - 692,Human
D5 - 693,Human
D5 - 694,Human
D5 - 695,Human
D5 - 696,AI
D5 - 697,AI
D5 - 698,AI
D5 - 699,AI
D5 - 700,AI
D5 - 701,Human
D5 - 702,Human
D5 - 703,AI
D5 - 704,Human
D5 - 705,Human
D5 - 706,Human
D5 - 707,Human
D5 - 708,AI
D5 - 709,Human
D5 - 710,AI
D5 - 711,Human
D5 - 712,Human
D5 - 713,AI
D5 - 714,AI
D5 - 715,Human
D5 - 716,Human
D5 - 717,AI
D5 - 718,AI
D5 - 719,Human
D5 - 720,Human
D5 - 721,Human
D5 - 722,Human
D5 - 723,AI
D5 - 724,Human
D5 - 725,AI
D5 - 726,AI
D5 - 727,AI
D5 - 728,Human
D5 - 729,Human
D5 - 730,Human
D5 - 731,AI
D5 - 732,AI
D5 - 733,Human
D5 - 734,Human
D5 - 735,AI
D5 - 736,AI
D5 - 737,Human
D5 - 738,AI
D5 - 739,AI
D5 - 740,AI
D5 - 741,Human
D5 - 742,AI
D5 - 743,AI
D5 - 744,AI
D5 - 745,AI
D5 - 746,Human
D5 - 747,AI
D5 - 748,Human
D5 - 749,Human
D5 - 750,Human
D5 - 751,AI
D5 - 752,Human
D5 - 753,Human
D5 - 754,Human
D5 - 755,AI
D5 - 756,AI
D5 - 757,AI
D5 - 758,AI
D5 - 759,AI
D5 - 760,Human
D5 - 761,AI
D5 - 762,Human
D5 - 763,Human
D5 - 764,AI
D5 - 765,Human
D5 - 766,Human
D5 - 767,AI
D5 - 768,AI
D5 - 769,Human
D5 - 770,AI
D5 - 771,AI
D5 - 772,Human
D5 - 773,AI
D5 - 774,Human
D5 - 775,AI
D5 - 776,Human
D5 - 777,Human
D5 - 778,Human
D5 - 779,Human
D5 - 780,AI
D5 - 781,AI
D5 - 782,AI
D5 - 783,Human
D5 - 784,Human
D5 - 785,Human
D5 - 786,AI
D5 - 787,Human
D5 - 788,AI
D5 - 789,Human
D5 - 790,Human
D5 - 791,AI
D5 - 792,AI
D5 - 793,AI
D5 - 794,AI
D5 - 795,Human
D5 - 796,Human
D5 - 797,AI
D5 - 798,Human
D5 - 799,AI
D5 - 800,Human
D5 - 801,Human
D5 - 802,Human
D5 - 803,Human
D5 - 804,Human
D5 - 805,AI
D5 - 806,Human
D5 - 807,AI
D5 - 808,AI
D5 - 809,Human
D5 - 810,AI
D5 - 811,AI
D5 - 812,AI
D5 - 813,AI
D5 - 814,AI
D5 - 815,AI
D5 - 816,AI
D5 - 817,Human
D5 - 818,Human
D5 - 819,Human
D5 - 820,AI
D5 - 821,Human
D5 - 822,AI
D5 - 823,Human
D5 - 824,AI
D5 - 825,AI
D5 - 826,Human
D5 - 827,AI
D5 - 828,AI
D5 - 829,AI
D5 - 830,Human
D5 - 831,Human
D5 - 832,AI
D5 - 833,AI
D5 - 834,Human
D5 - 835,AI
D5 - 836,Human
D5 - 837,AI
D5 - 838,AI
D5 - 839,Human
D5 - 840,AI
D5 - 841,AI
D5 - 842,AI
D5 - 843,Human
D5 - 844,AI
D5 - 845,AI
D5 - 846,AI
D5 - 847,AI
D5 - 848,AI
D5 - 849,Human
D5 - 850,Human
D5 - 851,Human
D5 - 852,AI
D5 - 853,AI
D5 - 854,Human
D5 - 855,AI
D5 - 856,AI
D5 - 857,Human
D5 - 858,AI
D5 - 859,AI
D5 - 860,AI
D5 - 861,Human
D5 - 862,Human
D5 - 863,Human
D5 - 864,AI
D5 - 865,AI
D5 - 866,Human
D5 - 867,AI
D5 - 868,Human
D5 - 869,AI
D5 - 870,Human
D5 - 871,AI
D5 - 872,Human
D5 - 873,Human
D5 - 874,AI
D5 - 875,AI
D5 - 876,Human
D5 - 877,Human
D5 - 878,AI
D5 - 879,AI
D5 - 880,AI
D5 - 881,Human
D5 - 882,Human
D5 - 883,Human
D5 - 884,AI
D5 - 885,Human
D5 - 886,Human
D5 - 887,Human
D5 - 888,Human
D5 - 889,Human
D5 - 890,AI
D5 - 891,Human
D5 - 892,Human
D5 - 893,AI
D5 - 894,Human
D5 - 895,Human
D5 - 896,Human
D5 - 897,Human
D5 - 898,AI
D5 - 899,Human
D5 - 900,Human
D5 - 901,AI
D5 - 902,AI
D5 - 903,Human
D5 - 904,AI
D5 - 905,AI
D5 - 906,AI
D5 - 907,Human
D5 - 908,Human
D5 - 909,AI
D5 - 910,Human
D5 - 911,Human
D5 - 912,AI
D5 - 913,Human
D5 - 914,AI
D5 - 915,Human
D5 - 916,AI
D5 - 917,AI
D5 - 918,AI
D5 - 919,AI
D5 - 920,AI
D5 - 921,Human
D5 - 922,Human
D5 - 923,Human
D5 - 924,Human
D5 - 925,AI
D5 - 926,AI
D5 - 927,AI
D5 - 928,Human
D5 - 929,Human
D5 - 930,Human
D5 - 931,AI
D5 - 932,Human
D5 - 933,AI
D5 - 934,Human
D5 - 935,AI
D5 - 936,Human
D5 - 937,Human
D5 - 938,AI
D5 - 939,AI
D5 - 940,Human
D5 - 941,Human
D5 - 942,Human
D5 - 943,Human
D5 - 944,AI
D5 - 945,AI
D5 - 946,AI
D5 - 947,AI
D5 - 948,AI
D5 - 949,Human
D5 - 950,Human
D5 - 951,Human
D5 - 952,AI
D5 - 953,AI
D5 - 954,Human
D5 - 955,Human
D5 - 956,Human
D5 - 957,AI
D5 - 958,AI
D5 - 959,AI
D5 - 960,Human
D5 - 961,Human
D5 - 962,AI
D5 - 963,AI
D5 - 964,AI
D5 - 965,AI
D5 - 966,AI
D5 - 967,Human
D5 - 968,AI
D5 - 969,Human
D5 - 970,AI
D5 - 971,Human
D5 - 972,Human
D5 - 973,AI
D5 - 974,AI
D5 - 975,Human
D5 - 976,AI
D5 - 977,AI
D5 - 978,AI
D5 - 979,AI
D5 - 980,AI
D5 - 981,AI
D5 - 982,Human
D5 - 983,Human
D5 - 984,Human
D5 - 985,Human
D5 - 986,AI
D5 - 987,Human
D5 - 988,AI
D5 - 989,Human
D5 - 990,Human
D5 - 991,AI
D5 - 992,Human
D5 - 993,Human
D5 - 994,AI
D5 - 995,Human
D5 - 996,AI
D5 - 997,Human
D5 - 998,Human
D5 - 999,Human
D5 - 1000,AI
D5 - 1001,Human
D5 - 1002,AI
D5 - 1003,Human
D5 - 1004,Human
D5 - 1005,Human
D5 - 1006,Human
D5 - 1007,Human
D5 - 1008,Human
D5 - 1009,Human
D5 - 1010,Human
D5 - 1011,AI
D5 - 1012,AI
D5 - 1013,AI
D5 - 1014,AI
D5 - 1015,AI
D5 - 1016,Human
D5 - 1017,Human
D5 - 1018,Human
D5 - 1019,AI
D5 - 1020,Human
D5 - 1021,Human
D5 - 1022,AI
D5 - 1023,Human
D5 - 1024,AI
D5 - 1025,Human
D5 - 1026,Human
D5 - 1027,AI
D5 - 1028,Human
D5 - 1029,Human
D5 - 1030,AI
D5 - 1031,AI
D5 - 1032,Human
D5 - 1033,Human
D5 - 1034,Human
D5 - 1035,AI
D5 - 1036,AI
D5 - 1037,Human
D5 - 1038,AI
D5 - 1039,AI
D5 - 1040,Human
D5 - 1041,AI
D5 - 1042,AI
D5 - 1043,Human
D5 - 1044,Human
D5 - 1045,Human
D5 - 1046,AI
D5 - 1047,AI
D5 - 1048,Human
D5 - 1049,Human
D5 - 1050,Human
D5 - 1051,AI
D5 - 1052,Human
D5 - 1053,AI
D5 - 1054,Human
D5 - 1055,AI
D5 - 1056,AI
D5 - 1057,AI
D5 - 1058,AI
D5 - 1059,AI
D5 - 1060,AI
D5 - 1061,Human
D5 - 1062,Human
D5 - 1063,AI
D5 - 1064,Human
D5 - 1065,Human
D5 - 1066,AI
D5 - 1067,Human
D5 - 1068,AI
D5 - 1069,AI
D5 - 1070,Human
D5 - 1071,Human
D5 - 1072,AI
D5 - 1073,Human
D5 - 1074,Human
D5 - 1075,Human
D5 - 1076,Human
D5 - 1077,Human
D5 - 1078,Human
D5 - 1079,Human
D5 - 1080,AI
D5 - 1081,AI
D5 - 1082,Human
D5 - 1083,AI
D5 - 1084,Human
D5 - 1085,Human
D5 - 1086,AI
D5 - 1087,Human
D5 - 1088,AI
D5 - 1089,AI
D5 - 1090,Human
D5 - 1091,Human
D5 - 1092,AI
D5 - 1093,AI
D5 - 1094,AI
D5 - 1095,Human
D5 - 1096,Human
D5 - 1097,Human
D5 - 1098,Human
D5 - 1099,AI
D5 - 1100,Human
D5 - 1101,Human
D5 - 1102,Human
D5 - 1103,Human
