ID,Label
D6 - 517,AI
D6 - 518,Human
D6 - 519,AI
D6 - 520,Human
D6 - 521,AI
D6 - 522,Human
D6 - 523,AI
D6 - 524,Human
D6 - 525,AI
D6 - 526,Human
D6 - 527,AI
D6 - 528,Human
D6 - 529,AI
D6 - 530,Human
D6 - 531,AI
D6 - 532,Human
D6 - 533,AI
D6 - 534,Human
D6 - 535,AI
D6 - 536,Human
D6 - 537,AI
D6 - 538,Human
D6 - 539,AI
D6 - 540,Human
D6 - 541,Human
D6 - 542,Human
D6 - 543,AI
D6 - 544,Human
D6 - 545,AI
D6 - 546,Human
D6 - 547,AI
D6 - 548,Human
D6 - 549,AI
D6 - 550,Human
D6 - 551,AI
D6 - 552,Human
D6 - 553,AI
D6 - 554,Human
D6 - 555,AI
D6 - 556,Human
D6 - 557,AI
D6 - 558,Human
D6 - 559,AI
D6 - 560,Human
D6 - 561,Human
D6 - 562,AI
D6 - 563,Human
D6 - 564,AI
D6 - 565,Human
D6 - 566,AI
D6 - 567,Human
D6 - 568,AI
D6 - 569,Human
D6 - 570,AI
D6 - 571,Human
D6 - 572,AI
D6 - 573,Human
D6 - 574,AI
D6 - 575,Human
D6 - 576,AI
D6 - 577,Human
D6 - 578,AI
D6 - 579,Human
D6 - 580,AI
D6 - 581,Human
D6 - 582,AI
D6 - 583,Human
D6 - 584,AI
D6 - 585,Human
D6 - 586,AI
D6 - 587,Human
D6 - 588,AI
D6 - 589,Human
D6 - 590,AI
D6 - 591,Human
D6 - 592,AI
D6 - 593,Human
D6 - 594,AI
D6 - 595,Human
D6 - 596,AI
D6 - 597,Human
D6 - 598,AI
D6 - 599,Human
D6 - 600,AI
D6 - 601,Human
D6 - 602,AI
D6 - 603,Human
D6 - 604,AI
D6 - 605,Human
D6 - 606,AI
D6 - 607,Human
D6 - 608,AI
D6 - 609,Human
D6 - 610,AI
D6 - 611,Human
D6 - 612,AI
D6 - 613,Human
D6 - 614,AI
D6 - 615,Human
D6 - 616,AI
D6 - 617,Human
D6 - 618,AI
D6 - 619,Human
D6 - 620,AI
D6 - 621,Human
D6 - 622,AI
D6 - 623,Human
D6 - 624,AI
D6 - 625,Human
D6 - 626,AI
D6 - 627,Human
D6 - 628,AI
D6 - 629,Human
D6 - 630,AI
D6 - 631,Human
D6 - 632,AI
D6 - 633,Human
D6 - 634,AI
D6 - 635,Human
D6 - 636,AI
D6 - 637,Human
D6 - 638,AI
D6 - 639,Human
D6 - 640,AI
D6 - 641,Human
D6 - 642,AI
D6 - 643,Human
D6 - 644,Human
D6 - 645,AI
D6 - 646,Human
D6 - 647,AI
D6 - 648,Human
D6 - 649,AI
D6 - 650,Human
D6 - 651,AI
D6 - 652,Human
D6 - 653,AI
D6 - 654,Human
D6 - 655,AI
D6 - 656,Human
D6 - 657,AI
D6 - 658,Human
D6 - 659,AI
D6 - 660,Human
D6 - 661,AI
D6 - 662,Human
D6 - 663,AI
D6 - 664,Human
D6 - 665,AI
D6 - 666,Human
D6 - 667,AI
D6 - 668,Human
D6 - 669,AI
D6 - 670,Human
D6 - 671,AI
D6 - 672,Human
D6 - 673,AI
D6 - 674,Human
D6 - 675,AI
D6 - 676,Human
D6 - 677,AI
D6 - 678,Human
D6 - 679,AI
D6 - 680,Human
D6 - 681,AI
D6 - 682,Human
D6 - 683,AI
D6 - 684,Human
D6 - 685,AI
D6 - 686,Human
D6 - 687,AI
D6 - 688,Human
D6 - 689,AI
D6 - 690,Human
D6 - 691,AI
D6 - 692,Human
D6 - 693,AI
D6 - 694,Human
D6 - 695,AI
D6 - 696,Human
D6 - 697,AI
D6 - 698,Human
D6 - 699,AI
D6 - 700,Human
D6 - 701,AI
D6 - 702,Human
D6 - 703,AI
D6 - 704,Human
D6 - 705,AI
D6 - 706,Human
D6 - 707,AI
D6 - 708,Human
D6 - 709,AI
D6 - 710,Human
D6 - 711,AI
D6 - 712,Human
D6 - 713,AI
D6 - 714,Human
D6 - 715,AI
D6 - 716,Human
D6 - 717,AI
D6 - 718,Human
D6 - 719,AI
D6 - 720,Human
D6 - 721,AI
D6 - 722,Human
D6 - 723,AI
D6 - 724,Human
D6 - 725,AI
D6 - 726,Human
D6 - 727,AI
D6 - 728,Human
D6 - 729,Human
D6 - 730,AI
D6 - 731,Human
D6 - 732,AI
D6 - 733,Human
D6 - 734,Human
D6 - 735,AI
D6 - 736,Human
D6 - 737,AI
D6 - 738,Human
D6 - 739,Human
D6 - 740,Human
D6 - 741,AI
D6 - 742,Human
D6 - 743,AI
D6 - 744,Human
D6 - 745,AI
D6 - 746,Human
D6 - 747,AI
D6 - 748,Human
D6 - 749,AI
D6 - 750,Human
D6 - 751,AI
D6 - 752,Human
D6 - 753,AI
D6 - 754,Human
D6 - 755,AI
D6 - 756,Human
D6 - 757,AI
D6 - 758,Human
D6 - 759,AI
D6 - 760,Human
D6 - 761,AI
D6 - 762,Human
D6 - 763,AI
D6 - 764,Human
D6 - 765,AI
D6 - 766,Human
D6 - 767,AI
D6 - 768,Human
D6 - 769,AI
D6 - 770,Human
D6 - 771,AI
D6 - 772,Human
D6 - 773,AI
D6 - 774,Human
D6 - 775,AI
D6 - 776,Human
D6 - 777,AI
D6 - 778,Human
D6 - 779,AI
D6 - 780,Human
D6 - 781,AI
D6 - 782,Human
D6 - 783,AI
D6 - 784,Human
D6 - 785,AI
D6 - 786,Human
D6 - 787,AI
D6 - 788,Human
D6 - 789,AI
D6 - 790,Human
D6 - 791,AI
D6 - 792,Human
D6 - 793,AI
D6 - 794,Human
D6 - 795,AI
D6 - 796,Human
D6 - 797,AI
D6 - 798,Human
D6 - 799,AI
D6 - 800,Human
D6 - 801,AI
D6 - 802,Human
D6 - 803,AI
D6 - 804,Human
D6 - 805,AI
D6 - 806,Human
D6 - 807,AI
D6 - 808,Human
D6 - 809,AI
D6 - 810,Human
D6 - 811,AI
D6 - 812,Human
D6 - 813,AI
D6 - 814,Human
D6 - 815,AI
D6 - 816,Human
D6 - 817,AI
D6 - 818,Human
D6 - 819,AI
D6 - 820,Human
D6 - 821,AI
D6 - 822,Human
D6 - 823,AI
D6 - 824,Human
D6 - 825,AI
D6 - 826,Human
D6 - 827,AI
D6 - 828,Human
D6 - 829,AI
D6 - 830,Human
D6 - 831,AI
D6 - 832,Human
D6 - 833,AI
D6 - 834,Human
D6 - 835,AI
D6 - 836,Human
D6 - 837,AI
D6 - 838,Human
D6 - 839,Human
D6 - 840,AI
D6 - 841,Human
D6 - 842,AI
D6 - 843,Human
D6 - 844,AI
D6 - 845,Human
D6 - 846,AI
D6 - 847,Human
D6 - 848,Human
D6 - 849,AI
D6 - 850,Human
D6 - 851,AI
D6 - 852,Human
D6 - 853,AI
D6 - 854,Human
D6 - 855,AI
D6 - 856,Human
D6 - 857,Human
D6 - 858,AI
D6 - 859,Human
D6 - 860,AI
D6 - 861,Human
D6 - 862,AI
D6 - 863,Human
D6 - 864,AI
D6 - 865,Human
D6 - 866,AI
D6 - 867,Human
D6 - 868,AI
D6 - 869,Human
D6 - 870,AI
D6 - 871,Human
D6 - 872,AI
D6 - 873,Human
D6 - 874,AI
D6 - 875,Human
D6 - 876,AI
D6 - 877,Human
D6 - 878,AI
D6 - 879,Human
D6 - 880,AI
D6 - 881,Human
D6 - 882,Human
D6 - 883,AI
D6 - 884,Human
D6 - 885,AI
D6 - 886,Human
D6 - 887,Human
D6 - 888,AI
D6 - 889,Human
D6 - 890,AI
D6 - 891,Human
D6 - 892,AI
D6 - 893,Human
D6 - 894,AI
D6 - 895,Human
D6 - 896,AI
D6 - 897,Human
D6 - 898,AI
D6 - 899,Human
D6 - 900,AI
D6 - 901,Human
D6 - 902,AI
D6 - 903,Human
D6 - 904,AI
D6 - 905,Human
D6 - 906,AI
D6 - 907,Human
D6 - 908,AI
D6 - 909,Human
D6 - 910,AI
D6 - 911,Human
D6 - 912,AI
D6 - 913,Human
D6 - 914,AI
D6 - 915,Human
D6 - 916,AI
D6 - 917,Human
D6 - 918,AI
D6 - 919,Human
D6 - 920,AI
D6 - 921,Human
D6 - 922,Human
D6 - 923,AI
D6 - 924,Human
D6 - 925,AI
D6 - 926,Human
D6 - 927,AI
D6 - 928,Human
D6 - 929,AI
D6 - 930,Human
D6 - 931,AI
D6 - 932,Human
D6 - 933,AI
D6 - 934,Human
D6 - 935,AI
D6 - 936,Human
D6 - 937,AI
D6 - 938,Human
D6 - 939,AI
D6 - 940,Human
D6 - 941,AI
D6 - 942,Human
D6 - 943,AI
D6 - 944,Human
D6 - 945,Human
D6 - 946,AI
D6 - 947,Human
D6 - 948,AI
D6 - 949,Human
D6 - 950,AI
D6 - 951,Human
D6 - 952,Human
D6 - 953,AI
D6 - 954,Human
D6 - 955,AI
D6 - 956,Human
D6 - 957,AI
D6 - 958,Human
D6 - 959,AI
D6 - 960,Human
D6 - 961,Human
D6 - 962,AI
D6 - 963,Human
D6 - 964,AI
D6 - 965,Human
D6 - 966,AI
D6 - 967,Human
D6 - 968,AI
D6 - 969,Human
D6 - 970,AI
D6 - 971,Human
D6 - 972,AI
D6 - 973,Human
D6 - 974,AI
D6 - 975,Human
D6 - 976,AI
D6 - 977,Human
D6 - 978,AI
D6 - 979,Human
D6 - 980,AI
D6 - 981,Human
D6 - 982,AI
D6 - 983,Human
D6 - 984,AI
D6 - 985,Human
D6 - 986,AI
D6 - 987,Human
D6 - 988,AI
D6 - 989,Human
D6 - 990,AI
D6 - 991,Human
D6 - 992,AI
D6 - 993,Human
D6 - 994,AI
D6 - 995,Human
D6 - 996,AI
D6 - 997,Human
D6 - 998,AI
D6 - 999,Human
D6 - 1000,AI
D6 - 1001,Human
D6 - 1002,AI
D6 - 1003,Human
D6 - 1004,AI
D6 - 1005,Human
D6 - 1006,AI
D6 - 1007,Human
D6 - 1008,AI
D6 - 1009,Human
D6 - 1010,AI
D6 - 1011,Human
D6 - 1012,AI
D6 - 1013,Human
D6 - 1014,AI
D6 - 1015,Human
D6 - 1016,AI
D6 - 1017,Human
D6 - 1018,AI
D6 - 1019,Human
D6 - 1020,AI
D6 - 1021,Human
D6 - 1022,AI
D6 - 1023,Human
D6 - 1024,AI
D6 - 1025,Human
D6 - 1026,AI
D6 - 1027,Human
D6 - 1028,AI
D6 - 1029,Human
D6 - 1030,AI
D6 - 1031,Human
D6 - 1032,AI
D6 - 1033,Human
D6 - 1034,AI
D6 - 1035,Human
D6 - 1036,AI
D6 - 1037,Human
D6 - 1038,AI
D6 - 1039,Human
D6 - 1040,AI
D6 - 1041,Human
D6 - 1042,AI
D6 - 1043,Human
D6 - 1044,AI
D6 - 1045,Human
D6 - 1046,AI
D6 - 1047,Human
D6 - 1048,AI
D6 - 1049,Human
D6 - 1050,AI
D6 - 1051,Human
D6 - 1052,Human
D6 - 1053,AI
D6 - 1054,Human
D6 - 1055,AI
D6 - 1056,Human
D6 - 1057,AI
D6 - 1058,Human
D6 - 1059,AI
D6 - 1060,Human
D6 - 1061,AI
D6 - 1062,Human
D6 - 1063,AI
D6 - 1064,Human
D6 - 1065,AI
D6 - 1066,Human
D6 - 1067,AI
D6 - 1068,Human
D6 - 1069,AI
D6 - 1070,Human
D6 - 1071,AI
D6 - 1072,Human
D6 - 1073,AI
D6 - 1074,Human
D6 - 1075,AI
D6 - 1076,Human
D6 - 1077,AI
D6 - 1078,Human
D6 - 1079,AI
D6 - 1080,Human
D6 - 1081,Human
D6 - 1082,Human
D6 - 1083,AI
D6 - 1084,Human
D6 - 1085,AI
D6 - 1086,Human
D6 - 1087,AI
D6 - 1088,Human
D6 - 1089,AI
D6 - 1090,Human
D6 - 1091,AI
D6 - 1092,Human
D6 - 1093,AI
D6 - 1094,Human
D6 - 1095,AI
D6 - 1096,Human
D6 - 1097,AI
D6 - 1098,Human
D6 - 1099,AI
D6 - 1100,Human
D6 - 1101,AI
D6 - 1102,Human
D6 - 1103,AI
D6 - 1104,Human
D6 - 1105,AI
D6 - 1106,Human
D6 - 1107,AI
D6 - 1108,Human
D6 - 1109,AI
D6 - 1110,Human
D6 - 1111,AI
D6 - 1112,Human
D6 - 1113,Human
D6 - 1114,AI
D6 - 1115,Human
D6 - 1116,AI
D6 - 1117,Human
D6 - 1118,AI
D6 - 1119,Human
D6 - 1120,AI
D6 - 1121,Human
D6 - 1122,AI
D6 - 1123,Human
D6 - 1124,Human
D6 - 1125,AI
D6 - 1126,Human
D6 - 1127,AI
D6 - 1128,Human
D6 - 1129,AI
D6 - 1130,Human
D6 - 1131,AI
D6 - 1132,Human
D6 - 1133,AI
D6 - 1134,Human
D6 - 1135,AI
D6 - 1136,Human
D6 - 1137,AI
D6 - 1138,Human
D6 - 1139,AI
D6 - 1140,Human
D6 - 1141,AI
D6 - 1142,Human
D6 - 1143,Human
D6 - 1144,AI
D6 - 1145,Human
D6 - 1146,AI
D6 - 1147,Human
D6 - 1148,AI
D6 - 1149,Human
D6 - 1150,AI
D6 - 1151,Human
D6 - 1152,AI
D6 - 1153,Human
D6 - 1154,AI
D6 - 1155,Human
D6 - 1156,AI
D6 - 1157,Human
D6 - 1158,Human
D6 - 1159,AI
D6 - 1160,Human
D6 - 1161,AI
D6 - 1162,Human
D6 - 1163,AI
D6 - 1164,Human
D6 - 1165,AI
D6 - 1166,Human
D6 - 1167,Human
D6 - 1168,AI
D6 - 1169,Human
D6 - 1170,AI
D6 - 1171,Human
D6 - 1172,AI
D6 - 1173,Human
D6 - 1174,AI
D6 - 1175,Human
D6 - 1176,AI
D6 - 1177,Human
D6 - 1178,AI
D6 - 1179,Human
D6 - 1180,AI
D6 - 1181,Human
D6 - 1182,AI
D6 - 1183,Human
D6 - 1184,AI
D6 - 1185,Human
D6 - 1186,AI
D6 - 1187,Human
D6 - 1188,AI
D6 - 1189,Human
D6 - 1190,AI
D6 - 1191,Human
D6 - 1192,AI
D6 - 1193,Human
D6 - 1194,AI
D6 - 1195,Human
D6 - 1196,AI
D6 - 1197,Human
D6 - 1198,AI
D6 - 1199,Human
D6 - 1200,AI
D6 - 1201,Human
D6 - 1202,AI
D6 - 1203,Human
D6 - 1204,AI
D6 - 1205,Human
D6 - 1206,AI
D6 - 1207,Human
D6 - 1208,AI
D6 - 1209,Human
D6 - 1210,AI
D6 - 1211,Human
D6 - 1212,AI
D6 - 1213,Human
D6 - 1214,Human
D6 - 1215,AI
D6 - 1216,Human
D6 - 1217,AI
D6 - 1218,Human
D6 - 1219,AI
D6 - 1220,Human
D6 - 1221,AI
D6 - 1222,Human
D6 - 1223,AI
D6 - 1224,Human
D6 - 1225,AI
D6 - 1226,Human
D6 - 1227,AI
D6 - 1228,Human
D6 - 1229,AI
D6 - 1230,Human
D6 - 1231,AI
D6 - 1232,Human
D6 - 1233,AI
D6 - 1234,Human
D6 - 1235,AI
D6 - 1236,Human
D6 - 1237,AI
D6 - 1238,Human
D6 - 1239,AI
D6 - 1240,Human
D6 - 1241,AI
D6 - 1242,Human
D6 - 1243,AI
D6 - 1244,Human
D6 - 1245,AI
D6 - 1246,Human
D6 - 1247,AI
D6 - 1248,Human
D6 - 1249,AI
D6 - 1250,Human
D6 - 1251,AI
D6 - 1252,Human
D6 - 1253,AI
D6 - 1254,Human
D6 - 1255,AI
D6 - 1256,Human
D6 - 1257,AI
D6 - 1258,Human
D6 - 1259,AI
D6 - 1260,Human
D6 - 1261,AI
D6 - 1262,Human
D6 - 1263,AI
D6 - 1264,Human
D6 - 1265,AI
D6 - 1266,Human
D6 - 1267,AI
D6 - 1268,Human
D6 - 1269,AI
D6 - 1270,Human
D6 - 1271,AI
D6 - 1272,Human
D6 - 1273,Human
D6 - 1274,AI
D6 - 1275,Human
D6 - 1276,AI
D6 - 1277,Human
D6 - 1278,AI
D6 - 1279,Human
D6 - 1280,AI
D6 - 1281,Human
D6 - 1282,AI
D6 - 1283,Human
D6 - 1284,Human
D6 - 1285,AI
D6 - 1286,Human
D6 - 1287,AI
D6 - 1288,Human
D6 - 1289,AI
D6 - 1290,Human
D6 - 1291,AI
D6 - 1292,Human
D6 - 1293,AI
D6 - 1294,Human
D6 - 1295,AI
D6 - 1296,Human
D6 - 1297,AI
D6 - 1298,Human
D6 - 1299,AI
D6 - 1300,Human
D6 - 1301,AI
D6 - 1302,Human
D6 - 1303,AI
D6 - 1304,Human
D6 - 1305,AI
D6 - 1306,Human
D6 - 1307,AI
D6 - 1308,Human
D6 - 1309,AI
D6 - 1310,Human
D6 - 1311,AI
D6 - 1312,Human
D6 - 1313,AI
D6 - 1314,Human
D6 - 1315,AI
D6 - 1316,Human
D6 - 1317,AI
D6 - 1318,Human
D6 - 1319,AI
D6 - 1320,Human
D6 - 1321,AI
D6 - 1322,Human
D6 - 1323,AI
D6 - 1324,Human
D6 - 1325,AI
D6 - 1326,Human
D6 - 1327,AI
D6 - 1328,Human
D6 - 1329,AI
D6 - 1330,Human
D6 - 1331,Human
D6 - 1332,AI
D6 - 1333,Human
D6 - 1334,AI
D6 - 1335,Human
D6 - 1336,AI
D6 - 1337,Human
D6 - 1338,AI
D6 - 1339,Human
D6 - 1340,Human
D6 - 1341,AI
D6 - 1342,Human
D6 - 1343,AI
D6 - 1344,Human
D6 - 1345,AI
D6 - 1346,Human
D6 - 1347,AI
D6 - 1348,Human
D6 - 1349,AI
D6 - 1350,Human
D6 - 1351,AI
D6 - 1352,Human
D6 - 1353,AI
D6 - 1354,Human
D6 - 1355,AI
D6 - 1356,Human
D6 - 1357,AI
D6 - 1358,Human
D6 - 1359,AI
D6 - 1360,Human
D6 - 1361,AI
D6 - 1362,Human
